# Monthly Evaporation (AHPS Computed)
# units: mm over lake
# Original data source://lre-netapp1/LRE1-Public/Public/Share/H&H/WHS/FORECAST/AHPS
# Last modified 2019-09-03 12:47:17 by DA9
#
"year","month","SUP","MIC","HUR","GEO","MIH","STC","ERI","ONT"
"1948","01",133.66,140.1,103.52,111.23,122.78,40.89,65.68,145.36
"1948","02",88.16,45.72,41.47,39.19,43.19,11.73,13.16,53.38
"1948","03",49.68,34.32,27.17,19.57,29.46,7.52,10.98,36.39
"1948","04",11.49,5.46,9.2,6.98,7,-3.52,1.12,10.24
"1948","05",7.18,2.72,0.2,2.24,1.77,59.47,19.47,8.92
"1948","06",-2.13,4.7,-2.36,0.32,1.55,127.78,28,16.42
"1948","07",3.45,14.81,5.8,19.41,12.44,191.68,75.66,54.28
"1948","08",24.7,33.16,29.15,39.4,32.78,168.85,108.69,66.56
"1948","09",62.85,61.9,52.83,72.29,60.44,138.12,164.43,85.67
"1948","10",107.24,91.44,80.73,106.75,90.21,80.23,200.1,86.88
"1948","11",106.8,70.81,62.09,101.71,72.8,42.68,127.63,55.18
"1948","12",122.84,125.25,122.47,144.81,127.45,35.39,107.46,113.81
"1949","01",88.33,87.8,81.29,91.2,86.1,17.66,38.66,98.66
"1949","02",37.45,47.47,50.91,42.67,47.88,13.29,28.48,67.85
"1949","03",23.4,42.47,46.17,24.29,40.81,13.26,31.3,52.47
"1949","04",21.24,15.33,11.95,10.69,13.41,7.17,18.23,18.28
"1949","05",4.25,4.33,-0.33,0.62,2.12,118.49,42.36,35.69
"1949","06",-5.11,1.96,-3.15,-1.99,-0.45,137.29,28.11,17.49
"1949","07",-7.76,17.83,9.25,18.32,14.94,212.64,89.85,54.59
"1949","08",-5.39,49.24,43.1,56.1,48.23,184.13,149.32,88.52
"1949","09",35.86,91.08,85.67,103.8,91.27,137.35,218.59,95.03
"1949","10",66.48,61.65,59.06,82.82,64.18,81.57,138.99,51.9
"1949","11",105.8,105.35,110.45,118.5,109.24,43.33,167.29,105.19
"1949","12",104.17,114.41,114.6,114.11,114.43,17.9,88.02,112.83
"1950","01",57.11,93.89,77.26,71.22,84.47,18.98,37.59,99.39
"1950","02",18.49,50.67,56.37,51.34,52.75,17.42,38.42,81.52
"1950","03",13.32,44.93,40.51,26.94,40.49,21.92,30.73,53.2
"1950","04",15.34,26.02,21.35,15.26,22.66,5.28,14.72,26.83
"1950","05",4.65,-0.65,-3.1,-3.16,-1.9,37.67,6.17,-1.23
"1950","06",-5.5,-3.57,-5.61,-0.8,-3.83,164.69,42.9,11.46
"1950","07",-6.49,4.82,1.11,11.11,4.55,165.46,70.93,35.61
"1950","08",-3.78,41.45,29.09,52.38,38.94,165.28,107.89,56.97
"1950","09",0.67,40.36,42.75,72.55,46.4,125.54,151.61,84.19
"1950","10",37.11,47.57,41.37,65.37,48.31,75.63,133.63,58.69
"1950","11",98.17,126.84,101.42,141.53,120.43,55.97,192.84,99.06
"1950","12",74.57,116.92,108.13,124.76,115.15,22.18,86.72,105.54
"1951","01",29.84,56.52,57.6,69.51,59,15.94,31.47,81.91
"1951","02",7.02,36.07,30.4,39.1,34.6,9.56,15.75,38.34
"1951","03",2.84,35.85,30.02,32.01,33.21,9.51,15.6,41.39
"1951","04",0.93,1.82,3.38,1.68,2.34,-1.36,5.22,6.83
"1951","05",1.62,-3.35,-3.09,-2.1,-3.06,51.26,17.57,1.68
"1951","06",-4.71,-5.04,-4.28,5.25,-3.11,160.2,37.5,17.07
"1951","07",-6.32,-0.41,2.18,28.84,5.22,178.64,84.1,45.57
"1951","08",-5.57,28.07,35.17,62.58,36.11,172.26,130.05,73.45
"1951","09",25.31,71.06,71.42,101.11,76.05,156.29,182.68,98.27
"1951","10",67.78,58.22,59.38,97.9,65.04,80.86,165.32,68.59
"1951","11",113.17,114.08,122.07,163.5,124.84,40.74,171.27,112.92
"1951","12",83.23,96.59,97.87,113.12,99.71,27.04,78.88,112.32
"1952","01",35.52,52.55,58.19,77.22,58.49,13.3,32.23,78.8
"1952","02",13.7,33.29,45.29,55.38,41.01,11.55,21.64,43.91
"1952","03",11.26,37.57,42.46,41.72,39.93,10.11,19.75,39.85
"1952","04",11.45,11.44,9.72,8.61,10.39,-1.15,7.34,5.16
"1952","05",0.02,-0.31,-1.44,0.22,-0.62,82.38,33.03,9.31
"1952","06",-6.05,-0.27,-2.45,4.46,-0.26,168.63,38.28,26.83
"1952","07",-7.79,23.7,14.56,30.3,21.61,215.33,105.9,54.52
"1952","08",-5.75,43.51,37.38,61.62,44.32,164.37,125.21,76.31
"1952","09",29.05,75.65,71.11,93.4,76.95,145.88,179.42,88.8
"1952","10",100.83,131.25,128.44,172.97,137.03,96.28,241.36,127.1
"1952","11",91.28,82.27,79.69,119.18,87.35,39.8,116.05,69.1
"1952","12",81.54,84.21,77.15,102.37,84.71,12.17,77.15,95.33
"1953","01",62.16,81.76,79.39,88.99,82.11,15.94,32.71,88.8
"1953","02",29.08,46.14,46.85,52.71,47.45,18.7,33.84,68.39
"1953","03",21.63,32.82,32.09,30.19,32.14,8.86,20.84,34.06
"1953","04",19.52,19.25,14.72,11.5,16.43,43.14,25.57,21.63
"1953","05",1.57,2.52,-0.58,8.22,2.37,101.97,18.99,16.57
"1953","06",-6.41,4.74,0.08,11.7,4.25,152.32,36.87,24.85
"1953","07",-6.64,34.4,24.84,49.34,33.51,200.73,100.25,63.98
"1953","08",-5.93,43.58,33.12,56.72,42.09,170.01,122.39,70.23
"1953","09",42.75,98.01,83.48,122.08,96.88,153.62,197.11,103.41
"1953","10",59.74,64.9,61.06,94.1,68.3,89.4,155.96,65.2
"1953","11",91,91.52,74.33,120.13,90.21,44.18,151.86,73.73
"1953","12",113.04,129.78,112.5,151.22,127.27,30.57,121.45,109.76
"1954","01",77.84,111.15,110.81,120.53,112.55,23.41,45.28,118.98
"1954","02",24.14,33.3,34.56,32.82,33.66,8.35,15.98,44.42
"1954","03",44.4,61.62,61.88,52.39,60.22,14.65,31.42,56.22
