# Monthly Precipitation
# units: mm
# Coordinated Period: 1900 to 2016
# Preliminary data from 2016 to 2016 from NOAA Co-Ops
# Preliminary data from 2017 to present from USACE Web Reports
# Last modified 2019-09-03 12:47:17 by DA9
#
"year","month","SUP","MIH","STC","ERI","ONT"
"1900","01",36,38,48,50,77
"1900","02",30,81,105,106,105
"1900","03",24,39,59,61,88
"1900","04",30,42,49,48,37
"1900","05",25,60,63,59,46
"1900","06",54,63,80,78,65
"1900","07",97,124,122,123,103
"1900","08",133,82,77,76,54
"1900","09",153,99,46,47,68
"1900","10",76,73,61,60,75
"1900","11",39,86,96,97,128
"1900","12",28,32,22,22,54
"1901","01",36,46,48,48,62
"1901","02",14,34,41,42,47
"1901","03",53,72,62,63,78
"1901","04",30,32,64,65,101
"1901","05",39,64,90,87,109
"1901","06",108,64,70,68,77
"1901","07",120,108,80,79,98
"1901","08",60,62,76,77,96
"1901","09",70,64,59,60,76
"1901","10",79,83,40,38,42
"1901","11",46,47,49,51,68
"1901","12",41,59,93,94,108
"1902","01",36,29,33,35,64
"1902","02",27,34,26,27,64
"1902","03",20,65,67,65,72
"1902","04",38,48,44,44,70
"1902","05",60,94,89,90,65
"1902","06",80,110,164,161,109
"1902","07",71,120,154,154,156
"1902","08",67,48,38,37,59
"1902","09",66,87,136,133,68
"1902","10",66,65,64,63,82
"1902","11",69,70,49,48,45
"1902","12",51,58,70,70,79
"1903","01",30,49,48,49,75
"1903","02",32,57,84,84,70
"1903","03",49,56,65,64,78
"1903","04",49,61,103,102,68
"1903","05",96,70,59,57,25
"1903","06",40,62,97,99,130
"1903","07",111,100,120,124,99
"1903","08",79,114,114,115,116
"1903","09",105,95,56,54,33
"1903","10",79,66,65,64,90
"1903","11",51,47,49,47,46
"1903","12",38,66,58,58,77
"1904","01",30,43,104,104,88
"1904","02",26,53,71,71,72
"1904","03",44,78,110,108,84
"1904","04",27,58,75,73,93
"1904","05",88,109,86,85,91
"1904","06",74,58,51,48,87
"1904","07",75,74,102,100,110
"1904","08",76,71,86,84,90
"1904","09",102,101,76,75,100
"1904","10",93,71,49,51,62
"1904","11",22,19,11,10,15
"1904","12",46,55,58,57,59
"1905","01",29,53,52,55,74
"1905","02",21,45,49,48,51
"1905","03",51,59,37,36,38
"1905","04",40,44,64,63,50
"1905","05",69,108,112,109,73
"1905","06",85,106,114,108,129
"1905","07",112,106,98,91,108
"1905","08",53,75,85,84,103
"1905","09",114,76,70,65,67
"1905","10",72,81,70,70,89
"1905","11",67,61,72,71,57
"1905","12",24,45,48,47,77
"1906","01",41,73,45,44,54
"1906","02",26,41,25,25,26
"1906","03",38,59,65,66,68
"1906","04",27,44,49,48,45
"1906","05",76,61,62,60,68
"1906","06",121,93,90,84,129
"1906","07",43,62,102,98,80
"1906","08",71,69,97,95,72
"1906","09",54,68,59,59,75
"1906","10",69,91,118,122,127
"1906","11",89,90,66,64,61
"1906","12",38,58,89,87,73
