# Monthly Runoff (AHPS Computed)
# units: mm over lake
# Original data source://lre-netapp1/LRE1-Public/Public/Share/H&H/WHS/FORECAST/AHPS
# Last modified 2019-09-03 12:47:17 by DA9
#
"year","month","SUP","MIC","HUR","GEO","MIH","STC","ERI","ONT"
"1948","01","38.93","41.84","18.52","116.44","45.85","156.09","43.18","86.42"
"1948","02","27.2","41.84","24.62","77.63","41.68","547.74","121.42","99.97"
"1948","03","38.15","93.18","111.02","187.17","114.56","1278.54","196.81","370.58"
"1948","04","85.83","103.09","64.77","361.83","131.71","553.42","101.39","358.13"
"1948","05","66.76","90.96","47.37","247.11","101.16","905.34","99.48","227.77"
"1948","06","41.12","46.09","20.64","133.69","51.47","195.83","33.87","106.93"
"1948","07","34.08","33.15","12.06","80.21","33.47","95.07","13.84","54.93"
"1948","08","32.05","25.87","9.32","58.22","25.38","46.83","26.72","49.8"
"1948","09","24.7","20.82","7.46","40.11","19.32","38.31","13.36","20.87"
"1948","10","28.61","23.25","14.79","105.23","33.59","149","55.82","93.01"
"1948","11","50.03","53.16","28.72","157.84","61.65","478.21","85.4","155.26"
"1948","12","44.56","52.15","23.25","149.65","57.94","241.23","79.44","137.69"
"1949","01","30.8","53.77","36.92","136.28","61.30","588.9","144.32","216.42"
"1949","02","22.04","55.59","39.91","101.35","57.57","920.95","124.52","186.39"
"1949","03","30.17","69.33","59.05","154.82","79.61","534.97","78.01","209.83"
"1949","04","77.23","81.66","49.73","325.6","110.10","478.21","77.53","213.49"
"1949","05","89.9","58.21","24.99","212.61","71.71","215.69","81.59","106.19"
"1949","06","55.66","47.7","19.39","127.22","50.78","79.47","32.2","41.38"
"1949","07","42.37","39.01","16.66","71.16","36.48","76.63","15.03","26"
"1949","08","32.05","25.27","8.45","43.56","22.41","70.95","19.32","32.96"
"1949","09","34.4","31.13","14.05","58.22","29.61","136.23","26.72","84.96"
"1949","10","59.25","32.34","16.16","73.75","33.45","317.86","34.59","67.74"
"1949","11","45.34","33.96","13.92","97.47","37.31","131.97","31.01","92.28"
"1949","12","40.81","58.21","54.2","150.08","71.69","1045.82","108.3","202.87"
"1950","01","33.14","73.98","58.43","192.77","87.83","1088.39","275.05","265.12"
"1950","02","24.39","49.52","32.95","123.77","55.81","554.84","160.55","176.87"
"1950","03","29.08","75.19","64.4","130.67","80.44","864.19","179.15","250.84"
"1950","04","55.81","126.33","93.86","270.83","138.49","1140.9","187.26","343.12"
"1950","05","161.5","108.95","41.4","304.9","117.30","254.01","60.59","134.39"
"1950","06","88.33","64.28","20.14","139.73","61.23","173.12","45.33","70.67"
"1950","07","59.57","50.33","17.78","75.9","43.21","103.59","33.64","41.38"
"1950","08","48.31","38","11.81","68.57","33.89","56.76","14.55","38.08"
"1950","09","40.49","37.19","35.93","65.98","41.41","231.3","63.22","73.6"
"1950","10","60.35","30.32","19.39","74.61","33.71","332.05","73.24","104"
"1950","11","51.12","34.16","25.11","117.3","44.49","441.32","100.91","176.87"
"1950","12","38.15","39.62","46.5","127.65","56.25","800.33","119.04","217.15"
"1951","01","31.11","46.49","51.22","120.75","60.14","859.93","144.09","222.64"
"1951","02","29.55","42.65","42.14","99.62","51.69","787.56","128.1","201.04"
"1951","03","38.15","77.01","63.53","179.84","88.99","813.1","152.2","314.19"
"1951","04","116.16","124.72","71.11","461.88","160.75","591.73","117.13","326.27"
"1951","05","103.97","82.07","38.17","264.36","96.39","272.45","79.2","167.35"
"1951","06","68.48","55.38","19.52","142.32","57.05","195.83","43.42","93.01"
"1951","07","51.12","56.6","19.77","106.52","51.94","78.05","30.3","90.45"
"1951","08","41.43","37.39","15.04","73.31","35.47","43.99","11.45","37.72"
"1951","09","63.16","42.04","20.26","93.15","42.78","69.53","15.98","52.73"
"1951","10","63.63","70.54","43.51","172.07","77.62","407.26","62.02","58.59"
"1951","11","62.69","74.79","50.85","213.91","89.03","678.29","131.68","163.32"
"1951","12","50.5","55.18","30.96","182.86","67.47","252.59","84.92","144.28"
"1952","01","36.27","62.26","53.71","158.7","74.91","1028.79","223.76","202.87"
"1952","02","29.71","55.38","41.77","120.75","61.25","598.83","111.17","191.15"
"1952","03","31.11","64.88","57.06","118.17","70.80","850","152.67","234.73"
"1952","04","91.77","97.63","69.99","335.95","126.64","540.65","122.85","296.25"
"1952","05","71.14","60.64","38.42","221.67","79.02","353.34","74.91","188.59"
"1952","06","56.91","47.5","18.77","132.4","51.30","124.87","22.19","84.59"
"1952","07","51.12","47.1","14.05","82.8","41.45","49.67","9.54","57.13"
"1952","08","44.87","40.43","14.55","70.3","36.31","43.99","10.97","32.96"
